City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Guerrero Negro,MX,2021-10-12 10:15:31,27.9769,-114.0611,66.74,67,38,15.75
251,Kieta,PG,2021-10-12 10:15:31,-6.2167,155.6333,79.32,77,31,3.06
252,Ancud,CL,2021-10-12 10:15:32,-41.8697,-73.8203,46.42,93,94,2.01
253,Zyryanka,RU,2021-10-12 10:15:32,65.75,150.85,21.6,79,100,3.58
254,Coquimbo,CL,2021-10-12 10:15:32,-29.9533,-71.3436,55.13,76,90,3.44
255,Waitati,NZ,2021-10-12 10:15:33,-45.75,170.5667,47.8,72,100,18.19
256,Larochette,LU,2021-10-12 10:15:33,49.7769,6.2211,52.88,75,75,9.22
257,Ugoofaaru,MV,2021-10-12 10:15:33,5.6667,73.0,83.14,78,66,18.32
258,Pochutla,MX,2021-10-12 10:15:34,15.7432,-96.4661,77.83,88,8,3.98
259,Bluff,NZ,2021-10-12 10:15:34,-46.6,168.3333,44.74,70,89,25.93
260,Namtsy,RU,2021-10-12 10:15:34,62.7161,129.6658,23.11,60,44,7.96
261,Salalah,OM,2021-10-12 10:13:15,17.0151,54.0924,84.29,70,0,13.8
262,Tautira,PF,2021-10-12 10:15:35,-17.7333,-149.15,77.02,82,45,18.03
263,Tangshan,CN,2021-10-12 10:15:35,39.6333,118.1833,58.24,46,0,3.42
264,Prince Rupert,CA,2021-10-12 10:15:35,54.3161,-130.3201,47.89,84,90,24.16
265,Laguna,US,2021-10-12 10:15:36,38.421,-121.4238,58.08,37,1,4.0
266,Lorengau,PG,2021-10-12 10:15:36,-2.0226,147.2712,82.8,74,25,5.55
267,Gidam,IN,2021-10-12 10:15:36,18.9833,81.4,87.35,47,8,4.07
268,Chandur Bazar,IN,2021-10-12 10:15:37,21.2417,77.7456,88.29,43,1,3.2
269,Moratuwa,LK,2021-10-12 10:15:37,6.773,79.8816,82.38,78,54,12.84
270,Carnarvon,AU,2021-10-12 10:15:38,-24.8667,113.6333,71.67,37,0,21.85
271,Mahebourg,MU,2021-10-12 10:15:38,-20.4081,57.7,80.89,61,40,12.66
272,Litovko,RU,2021-10-12 10:15:38,49.2361,135.1742,47.48,65,4,7.0
273,Kuusamo,FI,2021-10-12 10:15:39,65.9667,29.1833,41.04,100,90,6.91
274,Ponta Do Sol,PT,2021-10-12 10:15:39,32.6667,-17.1,75.83,63,24,3.44
275,Ternate,ID,2021-10-12 10:15:39,0.8,127.4,83.23,79,54,7.16
276,Geraldton,AU,2021-10-12 10:15:40,-28.7667,114.6,63.12,59,0,20.71
277,Santa Maria,BR,2021-10-12 10:15:40,-29.6842,-53.8069,60.24,96,12,3.27
278,Kogon,UZ,2021-10-12 10:15:40,39.7228,64.5517,71.64,17,0,11.5
279,Grand Gaube,MU,2021-10-12 10:15:41,-20.0064,57.6608,81.0,68,54,7.0
280,Hovd,MN,2021-10-12 10:15:41,48.0056,91.6419,46.47,21,15,12.33
281,Leh,IN,2021-10-12 10:15:41,34.1667,77.5833,49.17,14,6,5.73
282,Cayenne,GF,2021-10-12 10:14:55,4.9333,-52.3333,77.09,91,75,0.0
283,Faanui,PF,2021-10-12 10:15:42,-16.4833,-151.75,80.17,79,45,19.33
284,Norrtalje,SE,2021-10-12 10:15:42,59.758,18.705,47.28,75,100,9.35
285,Itoman,JP,2021-10-12 10:15:42,26.1247,127.6694,80.62,89,75,10.36
286,Sechura,PE,2021-10-12 10:15:43,-5.5569,-80.8222,65.71,84,99,12.57
287,Castro,BR,2021-10-12 10:15:43,-24.7911,-50.0119,58.1,97,99,2.37
288,Yining,CN,2021-10-12 10:15:43,29.0361,114.5636,68.76,67,33,8.48
289,Tonantins,BR,2021-10-12 10:15:44,-2.8731,-67.8022,72.68,99,48,1.88
290,Saint Anthony,US,2021-10-12 10:15:44,45.0205,-93.218,59.25,85,90,3.0
291,Santa Ana,US,2021-10-12 10:14:45,33.7456,-117.8678,62.04,36,1,5.99
292,Yakeshi,CN,2021-10-12 10:15:45,49.2833,120.7333,46.18,48,53,7.56
293,Gayeri,BF,2021-10-12 10:15:45,12.6497,0.4931,94.39,38,69,8.72
